00001-00000000000000000826                  -ARTICULOS VARIOS              
00002-00000000000000000905                  -CARNES                        
00003-00000000000000000826                  -FIAMBRES                      
00004-00000000000000008264                  -VERDULERIA                    
00005-00000000000000082636                  -JUGOS SOBRE T/SABORES ESP     
00006-00000000000000000904                  -PANIFICACION                  
00007-00000000000000008256                  -BOLSA CAMISETA DESCARTABLE    
00008-00000000000000082636                  -HUEVOS ESPECIALES             
00009-00000000000000082636                  -DELIVERY                      
00010-00000000000000008264                  -TORTITAS                      
00011-00000000000000041322                  -SEMITAS CASERAS               
00012-00000000000000082636                  -FACTURAS ESPECIALES           
00013-00000000000000008264                  -LIMPIEZA                      
00014-00000000000000008264                  -BEBIDAS                       
00015-00000000000000000826                  -INDUMENTARIA                  
00016-00000000000000041322                  -COMESTIBLES                   
00017-00000000000000042140                  -LUVIANKA BOMBON               
00018-00000000000000083380                  -JD BONDIOLA                   
00020-00000000000000024793                  -QUESO ROQUEFORT               
00021-00000000000000025537                  -HOLANDA QUESO PATEGRAS        
00022-00000000000000024802                  -LA PAULINA QUESO PATEGRAS     
00023-00000000000000024793                  -QUESO SARDO                   
00024-00000000000000033802                  -DON PEDRO CREMOSO             
00025-00000000000000024793                  -PICADA ESPECIAL FIAMBRE       
00026-00000000000000008264                  -LEVADURA VIRGEN               
00027-00000000000000010744                  -SUPREMAS DE POLLO             
00028-00000000000000074380                  -EL JUAN QUESO CREMOSO         
00029-00000000000000041322                  -D
00030-00000000000000056612                  -PALETA ECONOMICA              
00031-00000000000000030579                  -KITO PALETA                   
00032-00000000000000024793                  -PALETA FELA                   
00033-00000000000000025537                  -295 PALETA COCIDA             
00034-00000000000000045455                  -LARIO PALETA COCIDA           
00035-00000000000000074380                  -QUITO JAMON COCIDO            
00036-00000000000000016529                  -LUVIANCA BOMBON               
00037-00000000000000053306                  -LA COMARCA JAMON COCIDO       
00038-00000000000000025612                  -ANTENA JAMON COCIDO           
00039-00000000000000025537                  -LA CASONA JAMON NATURAL       
00040-00000000000000025537                  -66 SALAME                     
00041-00000000000000024793                  -CABA�A DE TANDIL SALAME       
00042-00000000000000018183                  -DAVINA BEATRIZ SALAME         
00043-00000000000000018182                  -LARIO SALAME                  
00044-00000000000000018182                  -RECREO SALAME                 
00045-00000000000000018182                  -SALAME ESPA�OL                
00046-00000000000000025537                  -DAVINA SALAME X MTS           
00047-00000000000000025612                  -CANTIMPALO SALAME X MTS       
00048-00000000000000025198                  -CALABREZA SALAME X MTS        
00049-00000000000000024793                  -LA PAULINA CREMOSO            
00050-00000000000000025537                  -LARIO MORTADELA               
00051-00000000000000025537                  -FOX MORTADELA                 
00052-00000000000000024793                  -SALAMIN UNIDAD                
00053-00000000000000099174                  -LA SERENISIMA CREMOSO         
00054-00000000000000020248                  -D.J. BONDIOLA                 
00055-00000000000000024793                  -SAN DIEGO JAMON CRUDO         
00056-00000000000000025612                  -LA MUNDIAL JAMON CRUDO        
00057-00000000000000024793                  -EL ANTIGUO JAMON CRUDO        
00058-00000000000000014298                  -JAMON CRUDO TIPO CASERO       
00059-00000000000000070240                  -MEDALLONES DE POLLO           
00060-00000000000000019008                  -FOX SALCHICHON PRIMAVERA      
00061-00000000000000009008                  -SALCHICHON CON JAMON          
00062-00000000000000024802                  -FOX QUESO DE CERDO            
00063-00000000000000012397                  -ARROLLADO DE CERDO            
00064-00000000000000011570                  -FETITAS ARROLLADO DE CARNE    
00065-00000000000000025529                  -FETITAS DE ARROLLADO DE POLLO 
00066-00000000000000024793                  -PANCETA SALADA                
00067-00000000000000008926                  -PANCETA AHUMADA               
00068-00000000000000008926                  -CHORIZO COLORADO              
00069-00000000000000018595                  -HUESOS DE CERDO               
00070-00000000000000018595                  -ACEITUNAS VERDES              
00071-00000000000000018595                  -ACEITUNAS NEGRAS              
00072-00000000000000018595                  -ACEITUNAS VERDES SIN CAROZO   
